iter	Passed	Remaining
0	1	156
1	2	124
2	3	108
3	3	93
4	4	86
5	5	80
6	5	77
7	6	73
8	7	70
9	7	68
10	8	66
11	8	64
12	9	62
13	10	61
14	10	60
15	11	59
16	11	57
17	12	56
18	13	55
19	13	54
20	14	53
21	15	53
22	15	53
23	16	52
24	17	52
25	18	52
26	19	51
27	19	50
28	20	49
29	20	48
30	21	47
31	22	46
32	22	45
33	23	45
34	23	44
35	24	43
36	24	42
37	25	41
38	26	40
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	34
48	32	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	30
55	37	29
56	38	28
57	38	27
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	47	19
71	48	18
72	48	18
73	49	17
74	50	16
75	50	16
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	62	3
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	66	0
